customer_id,dni,gender,edad,ciudad_residencia,fecha_registro,nivel_riesgo
38,23718431,M,25,Piura,2016-06-21 12:35:37,bajo
39,22448136,F,59,Iquitos,2019-10-16 06:55:25,bajo
40,60992979,M,41,Cusco,2022-06-12 14:59:52,bajo
41,22981052,M,78,Arequipa,2021-06-28 00:30:55,bajo
42,58181396,M,52,Arequipa,2021-09-21 03:33:34,bajo
43,56164955,M,72,Piura,2015-07-11 12:05:07,bajo
44,91030736,F,31,Iquitos,2023-01-24 06:09:59,bajo
45,45503389,M,72,Lima,2017-08-29 08:38:45,bajo
46,15831819,F,31,Iquitos,2018-09-28 04:45:13,bajo
47,71662963,M,27,Arequipa,2017-04-27 10:40:36,bajo
48,81971316,F,29,Piura,2021-08-26 13:02:14,bajo
49,26753883,F,55,Lima,2020-01-07 22:22:38,medio
50,60806024,M,61,Iquitos,2017-06-14 06:06:05,bajo
51,20576383,F,72,Iquitos,2020-01-27 01:24:24,medio
52,84093639,F,63,Iquitos,2021-05-07 13:15:16,bajo
53,49349722,F,51,Chiclayo,2015-03-11 06:50:22,bajo
54,94374605,F,58,Lima,2017-05-28 11:11:59,bajo
55,93016315,F,27,Iquitos,2017-02-04 18:09:32,medio
56,58537831,F,75,Chiclayo,2015-09-17 13:39:44,bajo
57,87490893,M,34,Cusco,2015-02-01 06:06:13,bajo
58,35808537,M,34,Piura,2021-09-14 17:43:20,bajo
59,19335534,M,20,Iquitos,2016-06-12 23:02:13,bajo
60,16150444,M,79,Lima,2020-03-08 06:50:18,bajo
61,98753260,M,48,Chiclayo,2018-07-29 05:21:26,bajo
62,40587988,M,68,Chiclayo,2020-11-06 14:52:28,bajo
63,48840994,F,18,Cusco,2018-08-08 16:30:05,bajo
64,20709497,M,29,Trujillo,2022-01-08 03:29:54,bajo
65,41244663,M,56,Piura,2023-09-20 21:23:55,medio
66,23556182,F,21,Trujillo,2017-06-04 04:26:48,medio
67,61019678,M,59,Lima,2017-09-27 03:15:14,bajo
68,47308985,F,30,Piura,2018-02-17 06:59:01,bajo
69,70855700,M,51,Cusco,2018-10-03 22:17:19,medio
70,95320121,F,59,Lima,2019-04-20 11:35:11,bajo
71,58966946,F,38,Piura,2018-04-22 12:01:34,bajo
72,31831063,M,39,Piura,2016-12-13 05:45:10,medio
73,59684848,M,74,Trujillo,2018-01-31 22:03:44,bajo
74,57683626,F,21,Lima,2015-12-04 22:58:17,bajo
75,38119557,F,35,Cusco,2022-11-06 04:51:08,medio
76,99949389,F,22,Cusco,2016-03-30 12:06:34,bajo
77,45833156,F,36,Lima,2019-12-12 01:16:03,medio
78,96977837,M,19,Lima,2016-02-23 13:51:44,medio
79,19583482,M,29,Chiclayo,2019-04-07 17:14:51,alto
80,91756179,M,34,Arequipa,2016-09-02 05:00:15,bajo
81,95225343,F,27,Trujillo,2018-05-11 17:02:41,bajo
82,32969840,F,51,Lima,2023-04-16 07:05:56,bajo
83,81691040,M,23,Lima,2020-08-17 20:04:00,bajo
84,42857966,M,25,Arequipa,2021-01-28 04:19:59,bajo
85,31931511,M,78,Arequipa,2017-03-07 16:49:41,bajo
86,72043515,M,68,Piura,2018-12-28 08:04:25,bajo
87,60929647,F,28,Iquitos,2016-09-13 15:48:02,bajo
88,46231783,F,74,Cusco,2019-11-07 18:43:57,bajo
89,95899313,F,29,Trujillo,2016-03-09 18:39:19,medio
90,84752529,M,26,Piura,2018-04-17 08:35:53,medio
91,39476249,M,19,Lima,2020-05-28 15:40:24,alto
92,53524491,F,25,Arequipa,2023-04-08 00:52:43,bajo
93,17507864,F,75,Chiclayo,2022-09-01 05:11:58,alto
94,40742311,F,28,Cusco,2020-08-02 06:30:56,medio
95,14308421,F,77,Piura,2020-03-14 09:37:59,bajo
96,52339391,M,70,Chiclayo,2017-08-04 22:47:00,bajo
97,63843426,F,53,Cusco,2021-03-14 21:12:00,bajo
98,45935572,M,27,Iquitos,2020-05-19 15:01:10,bajo
99,18883684,M,38,Iquitos,2022-04-15 09:49:41,bajo
100,38317637,M,37,Chiclayo,2017-11-13 21:20:49,bajo
101,86125617,M,65,Arequipa,2015-01-31 00:34:59,medio
102,52235350,F,25,Piura,2020-04-30 05:58:27,bajo
103,38538251,M,53,Piura,2019-03-10 16:17:51,bajo
104,97971488,F,46,Iquitos,2018-10-08 12:18:27,medio
105,77005685,F,59,Cusco,2022-06-02 23:32:06,bajo
106,63100814,M,29,Chiclayo,2019-09-16 05:29:12,alto
107,96282117,M,78,Arequipa,2021-02-11 18:26:18,bajo
108,71586053,F,31,Lima,2017-04-14 13:08:13,alto
109,29175900,M,65,Piura,2020-08-22 06:15:03,bajo
110,45551614,M,71,Lima,2023-03-02 07:55:24,bajo
111,28740864,M,67,Arequipa,2022-11-16 00:57:08,bajo
112,43101783,M,38,Iquitos,2022-07-30 08:35:40,medio
113,85345555,F,39,Piura,2021-02-07 03:25:29,medio
114,82340307,F,38,Piura,2020-03-13 03:15:20,bajo
115,45264581,F,61,Chiclayo,2023-04-14 22:26:11,alto
116,88461803,F,67,Lima,2016-11-07 06:17:57,bajo
117,67503414,F,47,Iquitos,2017-12-28 04:44:47,bajo
118,88320463,M,56,Chiclayo,2016-05-24 08:48:11,medio
119,63606628,F,37,Trujillo,2019-10-10 16:28:55,bajo
120,58586340,F,41,Lima,2017-05-19 22:33:43,bajo
121,39436733,F,40,Lima,2018-05-05 14:03:11,alto
122,28566572,F,24,Trujillo,2019-06-24 16:23:47,alto
123,78387461,M,26,Arequipa,2016-04-20 02:53:46,alto
124,76238574,M,18,Arequipa,2016-04-13 12:27:23,alto
125,22201654,M,43,Piura,2015-04-26 18:21:01,bajo
126,16323852,M,55,Cusco,2023-08-18 11:54:43,medio
127,24716857,F,55,Chiclayo,2015-07-13 20:01:13,bajo
128,30514014,F,71,Cusco,2021-11-22 10:01:48,alto
129,94214382,M,78,Piura,2018-08-15 01:10:20,bajo
130,31472420,F,61,Cusco,2015-08-16 18:35:05,bajo
131,66661351,M,39,Lima,2019-06-08 09:55:21,bajo
132,90048665,M,61,Lima,2023-01-12 13:14:36,bajo
133,18526544,M,27,Trujillo,2017-07-12 13:45:26,bajo
134,61642594,M,72,Trujillo,2021-03-23 02:49:43,medio
135,61220073,F,79,Piura,2021-09-04 21:35:46,medio
136,89978790,M,75,Piura,2018-10-19 13:54:00,bajo
137,72820592,F,23,Iquitos,2019-12-14 04:56:24,medio
138,81016525,F,34,Piura,2017-04-11 21:49:13,bajo
139,43744231,M,68,Lima,2022-11-27 13:15:27,bajo
140,84252722,F,67,Cusco,2023-07-11 20:54:15,bajo
141,11540956,F,55,Chiclayo,2023-09-07 14:09:12,medio
142,25374874,M,41,Iquitos,2016-07-16 16:23:41,medio
143,82070937,M,68,Iquitos,2021-10-01 12:53:31,bajo
144,45812670,M,27,Iquitos,2021-03-10 23:33:55,bajo
145,96028436,M,73,Piura,2023-07-18 08:36:42,bajo
146,55657579,M,25,Piura,2015-03-07 19:32:45,bajo
147,24972279,F,38,Lima,2019-01-24 08:29:14,bajo
148,49392920,F,73,Chiclayo,2017-10-27 12:22:57,bajo
149,68353204,M,23,Lima,2023-09-30 17:37:08,bajo
150,31227574,M,38,Chiclayo,2017-05-22 05:35:40,alto
151,70897765,F,74,Lima,2022-08-04 17:12:58,bajo
152,10435578,M,79,Cusco,2017-09-16 08:58:05,bajo
153,45351479,M,56,Piura,2018-01-18 04:03:57,bajo
154,77187530,M,41,Arequipa,2017-06-27 10:46:58,medio
155,33978249,F,50,Arequipa,2023-03-24 09:15:16,medio
156,78139880,M,76,Piura,2021-02-07 11:28:10,medio
157,24282218,F,35,Iquitos,2015-09-09 03:50:31,bajo
158,93926371,F,73,Piura,2018-09-21 16:40:16,medio
159,50056581,M,45,Piura,2023-04-19 02:28:04,bajo
160,95758349,F,74,Piura,2018-12-11 01:03:05,bajo
161,78137358,M,69,Iquitos,2016-01-26 14:32:08,bajo
162,91734598,F,49,Chiclayo,2019-07-01 15:47:26,bajo
163,36697396,F,29,Cusco,2021-04-14 14:10:04,alto
164,30513739,F,65,Arequipa,2018-12-25 03:23:39,medio
165,60185867,M,59,Trujillo,2015-09-24 00:03:24,bajo
166,31682744,F,44,Arequipa,2018-07-08 20:23:06,bajo
167,82394227,M,27,Arequipa,2023-10-24 00:38:35,bajo
168,81182864,M,63,Iquitos,2021-02-22 17:42:31,bajo
169,10076758,M,74,Lima,2021-08-08 12:38:22,bajo
170,90388981,F,69,Piura,2022-12-28 10:53:49,alto
171,53507489,F,59,Piura,2022-09-26 01:20:43,alto
172,75579548,M,49,Piura,2015-10-16 13:15:21,bajo
173,12614124,F,59,Lima,2015-09-05 23:01:09,medio
174,25014631,M,43,Iquitos,2020-07-06 16:59:15,bajo
175,58718453,F,42,Cusco,2016-10-03 10:01:47,bajo
176,51273847,M,28,Cusco,2023-11-14 16:45:44,bajo
177,42138745,F,40,Iquitos,2019-08-27 10:34:37,bajo
178,17774584,M,51,Trujillo,2019-06-25 04:32:18,medio
179,42329237,F,74,Cusco,2017-12-16 06:21:50,bajo
180,86149359,M,69,Iquitos,2021-05-29 11:32:46,bajo
181,20570592,M,57,Cusco,2021-06-10 00:46:23,bajo
182,21496211,M,79,Piura,2021-03-19 21:00:12,alto
183,75228535,F,40,Chiclayo,2016-04-28 15:57:53,bajo
184,19289546,F,46,Iquitos,2023-10-16 10:21:20,medio
185,81498611,M,48,Arequipa,2019-04-13 07:17:06,medio
186,26879290,F,24,Cusco,2021-05-27 10:12:55,bajo
187,27232410,F,57,Cusco,2018-10-17 01:08:46,bajo
188,98550256,F,50,Lima,2023-10-14 14:56:31,medio
189,73791320,F,38,Trujillo,2021-11-26 19:34:32,bajo
190,83793389,M,19,Chiclayo,2021-01-01 19:57:52,alto
191,32162965,M,35,Lima,2020-11-13 22:56:59,bajo
192,45575298,F,64,Piura,2023-04-14 06:03:28,bajo
193,80823176,F,50,Arequipa,2023-03-15 17:28:03,medio
194,91415657,F,54,Trujillo,2015-02-10 23:55:04,medio
195,66792612,M,51,Lima,2023-07-16 07:21:17,alto
196,38427073,M,37,Iquitos,2017-05-13 12:27:20,bajo
197,82383095,F,52,Cusco,2022-06-26 10:26:57,alto
198,36998038,F,68,Cusco,2017-10-26 00:55:49,medio
199,51837852,F,67,Trujillo,2018-11-30 02:42:35,medio
200,63551839,F,78,Cusco,2016-04-24 00:13:44,bajo
201,97225156,F,71,Iquitos,2023-10-03 05:57:20,bajo
202,60119651,M,35,Lima,2019-10-11 21:20:56,alto
203,68800797,M,63,Lima,2018-08-07 07:43:00,bajo
204,79467853,F,79,Cusco,2017-07-22 13:28:25,bajo
205,70597444,F,41,Cusco,2018-03-07 09:23:40,bajo
206,26240908,M,25,Piura,2017-09-04 18:49:44,bajo
207,43273328,M,78,Arequipa,2021-02-28 18:36:02,bajo
208,40158366,F,47,Trujillo,2017-01-05 06:40:52,bajo
209,18593410,M,61,Lima,2018-12-02 07:44:04,medio
210,55377076,M,70,Trujillo,2022-01-20 07:40:24,bajo
211,12823170,F,27,Piura,2020-08-13 22:41:10,bajo
212,88961459,F,40,Lima,2016-12-05 06:17:30,bajo
213,84346088,F,69,Piura,2023-03-12 00:58:02,bajo
214,40885476,M,66,Piura,2023-02-23 06:00:55,bajo
215,88979095,F,28,Chiclayo,2023-02-24 12:48:51,medio
216,39557077,M,19,Cusco,2018-08-02 06:27:03,bajo
217,10965138,M,75,Iquitos,2017-09-28 22:47:06,alto
218,19528530,F,43,Chiclayo,2021-12-28 05:43:52,bajo
219,94705205,F,53,Trujillo,2015-05-20 11:23:47,bajo
220,17901903,F,50,Iquitos,2019-02-23 02:45:00,bajo
221,40728046,F,64,Trujillo,2015-09-26 02:08:59,bajo
222,19046318,F,30,Cusco,2017-03-05 15:36:36,medio
223,14216175,M,57,Iquitos,2017-09-28 05:19:08,medio
224,54349361,M,42,Chiclayo,2017-04-17 03:30:20,bajo
225,19510312,M,21,Trujillo,2023-09-21 10:50:18,bajo
226,79008866,M,59,Chiclayo,2015-09-01 12:33:53,bajo
227,41944441,F,36,Cusco,2017-07-01 14:06:40,bajo
228,47376585,M,35,Iquitos,2015-12-14 10:12:11,alto
229,99788677,F,54,Iquitos,2017-10-30 14:37:21,bajo
230,75151231,F,47,Lima,2019-05-24 18:28:09,medio
231,38754377,F,36,Piura,2018-01-23 17:08:38,bajo
232,82374753,F,75,Piura,2023-10-16 07:02:37,bajo
233,27758595,F,40,Chiclayo,2021-11-24 10:01:43,bajo
234,86644106,M,76,Iquitos,2015-04-26 16:49:14,bajo
235,87337818,M,71,Trujillo,2019-10-28 07:49:01,medio
236,73440831,F,33,Chiclayo,2016-06-16 19:44:39,bajo
237,42614537,M,18,Chiclayo,2018-09-07 20:45:06,medio
238,73481353,M,29,Arequipa,2022-08-23 06:03:36,bajo
239,64634663,F,41,Iquitos,2023-01-08 06:16:11,alto
240,35556386,M,51,Piura,2023-03-12 23:35:53,bajo
241,22660194,F,70,Iquitos,2017-11-25 20:45:45,medio
242,23009833,F,74,Cusco,2018-09-25 01:54:08,medio
243,98447167,F,25,Chiclayo,2021-12-27 09:59:35,alto
244,67854710,M,35,Arequipa,2017-06-05 18:46:33,bajo
245,57553014,M,74,Arequipa,2018-02-04 04:31:49,medio
246,66851760,F,65,Piura,2023-09-10 00:44:58,bajo
247,65177213,M,22,Piura,2019-07-02 16:11:09,bajo
248,72682989,F,43,Piura,2017-11-08 04:28:23,bajo
249,17270733,F,47,Cusco,2020-10-30 06:50:39,bajo
250,97705310,F,71,Arequipa,2022-09-18 18:22:08,alto
251,96728778,M,30,Trujillo,2016-03-03 18:35:51,bajo
252,23209423,M,36,Cusco,2018-11-29 00:18:56,bajo
253,18135295,F,46,Lima,2021-06-08 02:57:55,bajo
254,64038913,M,20,Chiclayo,2021-07-23 04:14:34,bajo
255,55540424,M,43,Piura,2017-04-01 13:03:41,bajo
256,24665841,F,57,Arequipa,2016-11-05 15:08:57,bajo
257,43374088,F,76,Chiclayo,2015-04-13 21:59:55,bajo
258,35714784,F,75,Iquitos,2018-06-11 08:24:10,bajo
259,35529407,F,75,Cusco,2023-11-23 00:21:55,alto
260,81979055,M,29,Lima,2023-07-31 23:32:37,medio
261,70211891,F,19,Iquitos,2022-02-21 12:22:11,alto
262,28814949,F,28,Cusco,2017-07-18 08:10:55,bajo
263,66623995,M,61,Cusco,2016-08-21 09:05:05,bajo
264,34627347,F,45,Trujillo,2018-01-07 11:06:49,bajo
265,47385696,F,35,Chiclayo,2023-02-04 22:45:20,bajo
266,72092888,F,30,Trujillo,2015-08-31 13:33:15,bajo
267,43528453,F,54,Cusco,2023-07-25 13:53:30,bajo
268,20117988,F,39,Lima,2016-12-31 05:19:01,bajo
269,69476001,M,29,Arequipa,2016-08-02 01:29:41,bajo
270,83863413,M,19,Arequipa,2023-03-16 12:58:48,medio
271,23141087,F,54,Iquitos,2017-03-20 20:02:43,bajo
272,16789850,F,24,Chiclayo,2015-01-08 10:59:15,bajo
273,97529405,F,43,Piura,2022-05-05 05:28:13,bajo
274,82556484,F,43,Piura,2023-11-18 20:52:41,bajo
275,11980765,F,41,Arequipa,2022-02-27 00:56:55,bajo
276,22517517,F,29,Cusco,2021-04-20 10:41:19,bajo
277,41726318,F,33,Cusco,2015-09-27 21:59:11,bajo
278,32321899,F,40,Trujillo,2022-04-19 10:35:42,medio
279,64547971,F,57,Chiclayo,2018-11-26 23:28:12,medio
280,75181648,F,79,Trujillo,2023-03-15 19:27:33,bajo
281,74606833,F,77,Piura,2021-06-26 22:06:27,bajo
282,38688676,M,26,Arequipa,2020-12-18 01:00:16,bajo
283,63826716,M,49,Iquitos,2016-08-30 04:36:06,medio
284,17869910,M,32,Cusco,2022-03-28 21:34:40,bajo
285,32097220,F,54,Arequipa,2017-04-11 22:05:45,bajo
286,60864911,M,30,Lima,2019-05-01 12:28:45,bajo
287,10289289,M,22,Arequipa,2023-02-12 20:27:28,bajo
288,62401521,F,28,Lima,2018-12-15 18:50:04,medio
289,45594951,M,27,Trujillo,2016-06-04 19:47:01,bajo
290,71070189,F,69,Trujillo,2019-10-27 03:47:14,bajo
291,48285503,M,30,Piura,2021-12-14 05:48:48,bajo
292,66775103,M,58,Arequipa,2019-05-21 22:39:54,bajo
293,84593961,F,70,Arequipa,2018-03-20 12:51:27,medio
294,98834863,M,63,Lima,2015-02-03 23:39:48,medio
295,75319931,M,67,Trujillo,2015-02-14 04:55:42,bajo
296,30776478,F,32,Lima,2023-11-21 22:54:26,bajo
297,35487660,F,59,Trujillo,2017-01-02 03:52:30,bajo
298,49823450,M,73,Lima,2023-11-04 16:30:19,bajo
299,39219319,F,24,Trujillo,2015-02-14 16:51:18,bajo
300,17849494,M,57,Lima,2021-05-19 08:30:33,bajo
301,87736262,M,45,Iquitos,2018-06-30 10:15:22,bajo
302,82772208,F,49,Trujillo,2020-05-16 22:40:40,bajo
303,18181586,F,52,Chiclayo,2021-12-15 11:23:50,bajo
304,52091325,F,32,Lima,2021-03-01 01:35:12,medio
305,17672593,F,65,Arequipa,2016-10-24 06:50:30,bajo
306,16729990,F,53,Piura,2017-08-19 18:15:17,medio
307,88406989,F,38,Chiclayo,2022-04-01 12:24:00,bajo
308,73993471,M,23,Chiclayo,2019-04-26 00:27:15,bajo
309,77491435,F,18,Lima,2019-06-12 16:18:40,medio
310,81286543,M,21,Piura,2022-03-16 22:04:34,bajo
311,31130263,M,28,Arequipa,2021-03-22 00:47:58,medio
312,17634247,M,61,Chiclayo,2019-09-09 06:33:57,bajo
313,78159587,M,43,Arequipa,2021-10-05 16:39:28,bajo
314,20752378,F,78,Trujillo,2018-06-19 17:00:03,bajo
315,34941004,F,54,Iquitos,2022-01-11 17:02:57,bajo
316,19196777,F,40,Piura,2023-03-17 22:48:25,bajo
317,89864260,M,46,Iquitos,2018-01-15 12:35:55,bajo
318,19121552,M,38,Cusco,2021-04-19 10:09:33,bajo
319,41568532,M,65,Trujillo,2023-03-25 23:32:39,bajo
320,64193837,M,62,Piura,2019-04-26 22:03:53,bajo
321,26090908,F,62,Lima,2020-03-20 11:25:21,bajo
322,86460539,F,66,Iquitos,2020-11-09 18:08:03,bajo
323,43046464,F,44,Lima,2021-10-09 21:24:43,bajo
324,87701200,M,56,Arequipa,2017-05-07 22:16:11,medio
325,89795010,F,57,Chiclayo,2017-01-09 23:21:22,medio
326,15334035,F,30,Iquitos,2018-11-28 17:58:49,bajo
327,93131979,F,40,Cusco,2022-08-07 01:03:18,alto
328,21003626,F,76,Lima,2017-10-02 08:38:15,bajo
329,66267415,M,33,Piura,2016-09-15 02:37:54,alto
330,98231132,M,47,Iquitos,2018-08-25 14:18:56,medio
331,88339168,M,78,Iquitos,2023-08-25 17:41:03,medio
332,85863473,F,21,Chiclayo,2021-10-24 23:58:19,bajo
333,80166708,M,57,Chiclayo,2020-10-03 23:30:33,bajo
334,52462441,M,33,Piura,2015-11-20 10:40:35,bajo
335,44999379,M,48,Chiclayo,2017-09-25 18:59:23,medio
336,37415205,M,70,Lima,2021-08-14 19:20:45,bajo
337,99889098,F,59,Piura,2015-02-02 20:59:47,medio
338,52169044,F,42,Piura,2016-07-20 00:06:50,bajo
339,42035886,M,61,Arequipa,2017-06-22 00:56:48,medio
340,45650176,M,29,Cusco,2023-01-09 20:19:43,bajo
341,63121477,M,43,Iquitos,2022-05-29 08:11:23,bajo
342,27566185,M,54,Arequipa,2016-07-01 16:29:33,bajo
343,96637649,M,65,Cusco,2016-02-03 04:22:14,bajo
344,50264926,M,50,Piura,2019-06-23 19:07:20,bajo
345,71367643,M,45,Iquitos,2018-10-10 00:46:35,medio
346,52436584,F,26,Chiclayo,2021-04-23 06:56:35,bajo
347,19736572,F,29,Cusco,2016-05-12 08:23:27,bajo
348,11250299,M,22,Piura,2015-08-23 14:29:02,medio
349,71510041,M,71,Piura,2021-07-16 02:50:55,bajo
350,93370583,F,69,Arequipa,2021-10-25 12:29:30,alto
351,85563727,F,71,Arequipa,2023-11-12 09:58:41,alto
352,23419256,F,45,Chiclayo,2019-11-16 01:23:18,bajo
353,19832887,F,73,Trujillo,2015-12-24 01:30:28,bajo
354,82160068,M,52,Lima,2017-12-25 02:19:28,bajo
355,38609087,M,22,Trujillo,2023-05-30 21:33:22,medio
356,77898694,F,51,Trujillo,2022-06-20 16:15:25,bajo
357,45594597,M,63,Iquitos,2015-03-08 13:15:03,bajo
358,27778019,F,51,Iquitos,2018-06-07 08:45:50,medio
359,56843172,F,30,Chiclayo,2023-10-25 16:37:05,bajo
360,19233013,F,56,Iquitos,2019-11-13 04:22:57,medio
361,42787299,M,59,Cusco,2018-04-25 02:42:10,medio
362,59597086,F,62,Chiclayo,2015-07-28 20:11:21,bajo
363,48250360,M,65,Chiclayo,2023-09-08 10:24:48,medio
364,31172421,F,75,Piura,2023-10-11 03:42:14,medio
365,68812137,F,31,Piura,2018-12-10 13:16:46,bajo
366,82909480,M,28,Piura,2017-11-19 03:07:15,bajo
367,50603163,F,59,Lima,2015-08-13 01:49:34,bajo
368,92097999,F,55,Cusco,2021-02-13 08:19:02,bajo
369,97775215,M,21,Cusco,2019-01-26 16:32:03,alto
370,80993218,M,70,Piura,2015-01-02 18:50:27,bajo
371,11049999,M,50,Trujillo,2017-09-05 07:51:54,bajo
372,99639081,M,24,Lima,2016-06-23 14:56:16,bajo
373,84437458,M,73,Trujillo,2019-09-11 14:41:18,bajo
374,50181935,F,58,Arequipa,2021-10-17 23:52:10,alto
375,99038526,M,25,Cusco,2021-01-03 06:12:50,medio
376,23903144,M,54,Cusco,2021-09-21 08:00:46,bajo
377,28024248,F,68,Trujillo,2021-11-24 09:13:51,bajo
378,45496015,M,27,Lima,2018-05-29 16:26:58,bajo
379,25492573,F,60,Cusco,2023-10-23 03:23:16,bajo
380,24366125,M,74,Trujillo,2015-04-06 11:37:18,bajo
381,84252420,M,32,Chiclayo,2016-03-02 08:56:02,bajo
382,30863865,F,55,Chiclayo,2016-07-14 06:30:24,alto
383,46553958,F,32,Iquitos,2019-11-03 18:47:16,bajo
384,47816686,F,22,Lima,2020-12-02 23:43:32,medio
385,91178885,F,46,Trujillo,2020-11-29 03:14:27,bajo
386,38270233,F,36,Iquitos,2019-09-15 03:50:20,bajo
387,56020613,M,71,Chiclayo,2018-11-07 03:37:57,medio
388,37326368,M,68,Lima,2018-04-23 17:41:59,bajo
389,95125977,F,27,Iquitos,2022-09-26 18:34:43,medio
390,45431319,F,29,Piura,2021-11-15 02:21:18,bajo
391,77834855,F,71,Lima,2015-01-29 21:40:29,bajo
392,75569635,M,21,Arequipa,2019-06-11 11:10:26,medio
393,43704923,M,48,Piura,2017-12-23 15:04:46,bajo
394,16818112,F,35,Iquitos,2021-12-04 20:18:57,medio
395,22388090,M,33,Trujillo,2023-08-12 15:41:50,alto
396,95132217,F,57,Piura,2016-10-23 13:12:19,bajo
397,66851377,F,53,Piura,2016-03-25 18:58:42,bajo
398,47135391,M,42,Iquitos,2023-07-24 14:01:31,bajo
399,15917225,F,40,Trujillo,2020-01-03 10:00:46,bajo
400,10475894,F,29,Trujillo,2020-10-13 11:23:19,medio
401,54769200,M,51,Chiclayo,2016-12-28 01:38:47,bajo
402,27558317,F,53,Arequipa,2023-09-25 10:51:29,bajo
403,95511909,F,54,Trujillo,2019-05-21 06:01:23,medio
404,45159040,F,20,Cusco,2019-04-04 07:48:09,bajo
405,31687165,M,26,Cusco,2022-07-14 06:26:42,medio
406,69302158,F,78,Arequipa,2021-06-01 02:17:14,bajo
407,84045292,M,70,Lima,2023-03-25 04:07:02,alto
408,67403166,M,35,Iquitos,2019-02-20 15:32:15,bajo
409,85283645,F,60,Lima,2020-10-11 13:53:00,bajo
410,11297845,M,52,Cusco,2022-10-22 04:26:14,bajo
411,25015458,M,79,Trujillo,2022-11-02 19:36:42,bajo
412,20099059,F,74,Arequipa,2015-06-19 22:49:55,alto
413,30005727,F,72,Lima,2023-03-14 20:36:03,bajo
414,83227889,F,51,Lima,2016-12-23 11:11:09,medio
415,14835614,F,58,Iquitos,2019-05-22 00:52:14,bajo
416,59555330,M,31,Piura,2016-02-24 18:25:19,bajo
417,88183110,M,21,Cusco,2021-07-05 20:22:15,bajo
418,84158663,M,46,Trujillo,2018-10-01 09:47:39,bajo
419,29876811,F,58,Arequipa,2018-11-29 17:40:01,bajo
420,67684996,F,62,Lima,2020-05-15 21:10:24,bajo
421,27105448,F,67,Iquitos,2022-01-06 17:25:04,alto
422,15614174,F,32,Piura,2021-01-03 01:31:55,bajo
423,51373735,M,45,Cusco,2023-10-15 10:41:31,bajo
424,58942697,M,59,Cusco,2015-03-02 10:01:37,bajo
425,15354599,M,33,Iquitos,2019-06-25 09:33:11,bajo
426,58024342,F,29,Arequipa,2019-03-23 14:51:30,alto
427,38195995,M,69,Lima,2019-11-21 03:43:40,bajo
428,43491314,F,22,Arequipa,2016-07-31 22:34:19,bajo
429,99514287,M,51,Iquitos,2021-10-14 20:50:52,bajo
430,23796726,M,59,Iquitos,2020-10-26 01:40:30,bajo
431,57469942,M,18,Arequipa,2016-04-17 10:14:23,bajo
432,85146293,F,56,Chiclayo,2018-01-14 01:43:25,bajo
433,64543049,F,49,Piura,2023-02-09 05:06:03,bajo
434,93303777,M,43,Cusco,2020-05-04 08:06:07,bajo
435,30743797,M,34,Chiclayo,2021-01-05 19:23:49,medio
